aX,aY,aZ,gX,gY,gZ
-0.063,-0.660,0.748,-18.005,5.981,-6.470
-0.082,-0.649,0.698,-15.747,5.981,-2.625
-0.079,-0.637,0.687,-9.277,4.272,-0.671
-0.069,-0.621,0.698,-0.305,2.808,2.136
-0.092,-0.611,0.721,6.470,0.549,4.822
-0.114,-0.591,0.745,8.301,-1.526,4.211
-0.120,-0.598,0.737,4.333,-3.235,0.427
-0.093,-0.593,0.741,-2.808,-6.042,-3.662
-0.077,-0.584,0.750,-6.836,-8.484,-5.554
-0.072,-0.578,0.754,-6.653,-7.874,-3.906
-0.093,-0.580,0.741,-3.845,-6.470,0.000
-0.117,-0.577,0.751,0.610,-5.493,3.784
-0.133,-0.560,0.766,5.493,-4.822,5.066
-0.154,-0.562,0.775,8.423,-4.578,4.456
-0.170,-0.578,0.771,6.775,-5.676,1.526
-0.171,-0.589,0.791,3.601,-8.118,-2.869
-0.180,-0.619,0.796,3.357,-8.911,-5.188
-0.188,-0.653,0.809,5.005,-8.545,-4.578
-0.193,-0.669,0.836,7.446,-8.240,-3.235
-0.200,-0.680,0.853,8.911,-6.409,-1.831
-0.203,-0.674,0.879,7.385,-3.967,-0.610
-0.211,-0.672,0.883,3.540,-1.648,-0.488
-0.215,-0.678,0.862,-2.563,0.610,-1.282
-0.198,-0.674,0.844,-8.179,2.075,-2.441
-0.180,-0.652,0.828,-10.437,3.784,-2.747
-0.175,-0.620,0.798,-10.742,5.554,-1.343
0.551,0.927,2.485,88.623,2.747,68.481
0.727,1.329,3.124,132.629,19.348,105.042
0.694,1.558,3.841,183.533,46.570,163.452
0.405,1.626,4.000,208.435,80.627,233.704
-0.228,1.510,4.000,165.283,114.197,291.016
-0.796,1.332,4.000,42.542,138.367,315.491
-1.394,1.125,4.000,-130.981,135.010,319.153
-2.190,1.037,3.132,-316.528,107.178,329.468
-2.816,1.061,1.744,-485.474,80.017,315.552
-3.108,1.062,0.454,-573.853,48.096,232.605
-3.016,0.646,-0.717,-571.655,2.380,101.196
-2.728,0.193,-1.888,-484.497,-48.340,-51.086
-2.790,-0.657,-2.381,-268.066,-70.129,-198.059
-2.439,-2.534,-2.430,60.059,-27.405,-335.144
-1.506,-4.000,-2.635,283.630,35.461,-481.934
-0.471,-4.000,-2.472,300.720,26.184,-596.313
0.609,-4.000,-1.835,245.544,-46.814,-623.108
1.916,-4.000,-1.089,239.624,-65.735,-544.067
3.029,-4.000,-0.299,272.278,-38.513,-400.818
3.726,-4.000,0.414,284.912,-25.635,-221.863
3.324,-4.000,0.474,191.284,10.986,-42.419
2.220,-4.000,-0.067,45.349,67.566,143.494
0.740,-3.884,-0.669,-48.584,102.539,301.758
-0.440,-2.955,-1.079,-100.586,91.248,368.835
-0.957,-2.367,-1.267,-125.122,26.367,336.121
-1.070,-2.237,-1.236,-109.497,-55.847,248.169
-1.003,-2.231,-1.109,-75.195,-123.169,158.264
-0.931,-2.214,-0.924,-46.997,-154.175,96.069
-0.830,-2.180,-0.748,-19.348,-152.405,62.805
-0.789,-2.004,-0.467,2.014,-147.034,54.871
-0.864,-1.400,0.053,-1.831,-155.884,72.571
-1.025,-0.690,0.547,-26.672,-170.166,100.098
-1.271,0.016,0.943,-45.959,-150.024,127.747
