aX,aY,aZ,gX,gY,gZ
-0.151,-0.467,0.844,158.081,-28.931,-64.697
-0.227,-0.462,1.088,142.212,-68.604,-70.190
-0.403,-0.456,1.380,127.319,-108.948,-73.120
-0.500,-0.525,1.616,121.948,-123.352,-74.524
-0.742,-0.936,1.723,123.352,-115.356,-72.510
-0.563,-0.545,2.463,127.197,-54.077,-99.060
-0.421,-0.881,2.552,129.272,-36.438,-86.731
-0.744,-1.054,2.279,126.343,-79.346,-38.147
-0.458,-1.221,2.431,71.594,-108.154,19.165
-0.397,-1.501,2.442,34.363,-121.094,75.073
-0.324,-1.348,2.499,39.429,-61.951,88.379
-0.153,-1.416,2.344,74.280,17.761,69.275
0.042,-1.292,2.168,99.976,76.904,38.452
-0.334,-1.192,1.400,154.297,108.093,16.724
-0.062,-1.132,1.583,99.304,123.474,8.911
0.405,-1.101,2.962,70.801,146.912,15.686
0.474,-1.288,1.046,163.086,172.913,3.845
0.185,-1.360,1.124,193.909,152.222,3.235
0.466,-1.522,1.802,82.825,109.680,12.695
0.617,-1.821,1.289,68.909,87.646,37.964
0.303,-1.352,0.780,65.674,42.114,50.903
0.001,-0.593,0.713,45.288,12.756,43.945
0.174,-0.547,0.872,39.368,16.907,31.860
0.307,-0.543,0.755,40.527,19.714,14.526
0.210,-0.703,0.675,39.368,11.780,0.488
0.128,-0.771,0.632,36.987,-5.493,-12.268
0.151,-0.765,0.660,32.959,-21.851,-19.592
0.089,-0.844,0.694,25.757,-30.457,-21.790
0.101,-0.781,0.713,11.292,-30.884,-14.832
0.112,-0.780,0.733,7.568,-28.870,-9.094
0.068,-0.600,0.590,7.019,-21.484,-4.333
0.170,-0.768,0.684,8.789,-6.592,7.446
0.048,-0.716,0.540,15.625,1.526,13.245
0.002,-0.700,0.506,27.893,0.305,9.399
0.003,-0.663,0.573,33.386,-3.540,1.953
-0.014,-0.637,0.640,28.198,-6.958,-7.324
-0.012,-0.645,0.634,16.968,-11.963,-13.733
0.124,-0.639,0.623,10.498,-18.005,-12.268
0.111,-0.666,0.617,11.475,-22.644,-4.517
0.034,-0.706,0.590,16.968,-23.193,3.723
0.001,-0.715,0.579,26.611,-19.287,10.315
-0.032,-0.734,0.634,37.048,-13.184,12.817
-0.037,-0.739,0.697,49.561,-2.380,12.695
0.052,-0.763,0.761,53.772,12.634,10.742
0.045,-0.911,0.731,44.922,17.273,10.681
0.156,-0.861,0.649,29.358,12.756,9.583
0.060,-0.866,0.578,8.728,2.319,8.484
0.000,-0.831,0.931,-22.339,-52.551,-1.526
0.076,-0.607,0.744,-10.803,-54.810,-26.184
0.131,-0.517,0.774,-8.484,-57.617,-34.607
-0.013,-0.565,0.775,10.498,-29.541,-10.498
0.023,-0.553,0.661,35.583,13.184,14.099
0.114,-0.574,0.573,56.091,43.213,18.921
0.196,-0.659,0.578,64.087,51.331,6.958
0.219,-0.690,0.568,50.293,46.875,-2.930
0.203,-0.673,0.553,26.062,40.405,-2.625
0.231,-0.692,0.554,6.165,30.884,2.319
0.200,-0.695,0.533,-5.554,16.907,1.465
0.148,-0.684,0.523,-11.047,-2.136,-3.357
0.063,-0.702,0.524,-9.705,-16.846,-5.920
0.006,-0.670,0.507,2.441,-20.325,-7.935
0.007,-0.681,0.573,20.142,-16.174,-9.705
0.222,-0.702,0.512,36.560,-7.446,-9.460
0.115,-0.829,0.652,58.228,7.019,-0.061
0.094,-0.828,0.710,56.519,16.907,7.202
0.138,-0.821,0.675,45.715,20.264,9.155
0.244,-0.783,0.649,35.217,20.020,6.287
0.179,-0.788,0.691,33.203,16.357,6.042
0.185,-0.740,0.678,27.283,7.996,7.385
0.171,-0.730,0.633,23.376,1.892,5.859
0.091,-0.716,0.666,21.118,-2.258,5.005
0.072,-0.745,0.690,20.874,-5.859,2.563
0.164,-0.705,0.719,16.296,-10.193,-2.258
0.175,-0.738,0.818,-0.549,-19.226,-5.615
0.181,-0.717,0.837,-24.536,-23.071,-5.798
0.176,-0.688,0.767,-44.495,-23.682,-3.967
0.124,-0.687,0.699,-52.612,-24.292,1.282
0.110,-0.684,0.637,-48.035,-23.560,8.728
0.080,-0.692,0.589,-32.959,-15.442,16.052
0.076,-0.645,0.607,-17.761,-2.197,22.949
0.113,-0.654,0.592,-11.536,5.615,22.400
0.118,-0.651,0.616,-9.827,9.644,19.226
